"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"AK300-4";1;"Barosana un ieeja";;;
2;"Q1";"TO-92_Molded_Narrow";1;"BC547";;;
3;"R1,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"4.7 k";;;
4;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
5;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1 k";;;
6;"J2";"AK300-2";1;"Izeja";;;
7;"J3";"MountingHole_2.2mm_M2_Pad";1;"Stiprinajums1";;;
8;"J4";"MountingHole_2.2mm_M2_Pad";1;"Stiprinajums2";;;
9;"J5";"MountingHole_2.2mm_M2_Pad";1;"Stiprinajums3";;;
10;"C1";"C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4";1;"1 uF";;;
11;"C2";"C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4";1;"20 uF";;;
12;"J6";"MountingHole_2.2mm_M2_Pad";1;"Stiprinajums4";;;
